,UTC Time,Lat,Long,Depth,Mag,Network,RMS,ERH,ERZ,GAP,Q,Int,nStat,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,Color
25,2020-02-21 09:41,18.944000000000003,-67.7853,10.0,3.03 md,RSPR,0.47,2.42,31.61,319.0,C,I,11,2020-02-21 09:41,18.944,-67.7853,10.0,3.03,md,11.0,319.0,0.6378,0.47,pr,pr2020052016,2020-05-09T21:41:06.040Z,"79km NW of San Antonio, Puerto Rico",earthquake,2.42,31.61,0.39,6,reviewed,pr,pr,Amarillo
26,2020-02-29 12:19,18.1265,-67.8261,64.0,2.89 md,RSPR,0.29,1.85,1.56,196.0,C,I,12,2020-02-29 12:19,18.1265,-67.8261,64.0,2.89,md,12.0,196.0,0.4323,0.29,pr,pr2020060021,2020-05-19T22:14:12.040Z,"81km WSW of Pole Ojea, Puerto Rico",earthquake,1.85,1.56,0.3,9,reviewed,pr,pr,Amarillo
27,2020-03-11 05:36,19.0563,-64.9396,32.0,3.63 md,RSPR,0.14,2.23,12.69,336.0,C,I,4,2020-03-11 05:36,19.0563,-64.9396,32.0,3.63,md,4.0,336.0,1.2894,0.14,pr,pr2020071006,2020-05-30T22:17:01.040Z,"74km NNW of Road Town, British Virgin Islands",earthquake,2.23,12.69,0.15,3,reviewed,pr,pr,Amarillo
28,2020-03-14 10:58,18.3938,-67.3853,19.0,3.05 md,RSPR,0.04,2.85,0.65,223.0,B,I,9,2020-03-14 10:58,18.3938,-67.3853,19.0,3.05,md,9.0,223.0,0.0943,0.04,pr,pr2020074021,2020-05-30T22:17:08.040Z,"16km WNW of Rincon, Puerto Rico",earthquake,2.85,0.65,0.25,6,reviewed,pr,pr,Amarillo
29,2020-03-16 21:56,18.9101,-67.3775,19.0,3.23 md,RSPR,0.45,6.69,13.61,286.0,C,I,8,2020-03-16 21:56,18.9101,-67.3775,19.0,3.23,md,8.0,286.0,0.5354,0.45,pr,pr2020076028,2020-05-30T22:17:16.040Z,"57km NNW of San Antonio, Puerto Rico",earthquake,6.69,13.61,0.23,3,reviewed,pr,pr,Amarillo
30,2020-03-20 10:43,17.6908,-67.4301,6.0,2.96 md,RSPR,0.38,1.94,2.66,284.0,C,I,8,2020-03-20 10:43,17.6908,-67.4301,6.0,2.96,md,8.0,284.0,0.4498,0.38,pr,pr2020080018,2020-06-06T20:53:57.040Z,"62km SSW of Pole Ojea, Puerto Rico",earthquake,1.94,2.66,0.52,5,reviewed,pr,pr,Amarillo
31,2020-03-21 23:36,18.785,-66.8958,62.0,3.14 md,RSPR,0.26,1.19,1.93,248.0,C,I,15,2020-03-21 23:36,18.785,-66.8958,62.0,3.14,md,15.0,248.0,0.3837,0.26,pr,pr2020081023,2020-06-06T20:54:03.040Z,"31km NNE of Isabela, Puerto Rico",earthquake,1.19,1.93,0.17,13,reviewed,pr,pr,Amarillo
32,2020-03-24 02:25,18.2346,-67.6095,137.0,3.85 md,RSPR,0.19,2.23,0.93,286.0,C,I,14,2020-03-24 02:25,18.2346,-67.6095,137.0,3.85,md,14.0,286.0,0.1986,0.19,pr,pr2020084002,2020-06-06T20:54:13.040Z,"38km WSW of Rincon, Puerto Rico",earthquake,2.23,0.93,0.09,12,reviewed,pr,pr,Amarillo
33,2020-04-05 23:01,18.3646,-67.3778,123.0,4.05 md,RSPR,0.2,1.82,0.84,143.0,B,IV,23,2020-04-05 23:01,18.3646,-67.3778,123.0,4.05,md,23.0,143.0,0.1033,0.2,pr,pr2020096046,2020-06-21T00:55:08.040Z,"22km NW of Rincon, Puerto Rico",earthquake,1.82,0.84,0.2,21,reviewed,pr,pr,Amarillo
34,2020-04-11 17:46,17.942,-68.53399999999999,66.0,3.83 md,RSPR,0.31,2.85,5.44,247.0,C,I,18,2020-04-11 17:46,17.942,-68.534,66.0,3.83,md,18.0,247.0,1.1438,0.31,pr,pr2020102013,2020-06-30T14:02:58.040Z,"45km S of Boca de Yuma, Dominican Republic",earthquake,2.85,5.44,0.07,16,reviewed,pr,pr,Amarillo
35,2020-04-16 09:39,18.9986,-64.5848,72.0,3.63 md,RSPR,0.42,7.05,8.9,333.0,C,I,10,2020-04-16 09:39,18.9986,-64.5848,72.0,3.63,md,10.0,333.0,0.982,0.42,pr,pr2020107006,2020-07-09T14:31:12.040Z,"81km N of Road Town, British Virgin Islands",earthquake,7.05,8.9,0.02,7,reviewed,pr,pr,Amarillo
36,2020-04-16 13:54,18.097,-65.4406,12.0,3.36 md,RSPR,0.5,4.84,7.05,224.0,C,IV,12,2020-04-16 13:54,18.097,-65.4406,12.0,3.36,md,12.0,224.0,0.2632,0.5,pr,pr2020107007,2020-07-09T14:31:13.040Z,"28km SE of Esperanza, Puerto Rico",earthquake,4.84,7.05,0.18,9,reviewed,pr,pr,Amarillo
38,2020-04-24 17:21,18.9426,-66.5171,49.0,3.17 md,RSPR,0.35,1.82,3.49,262.0,C,I,12,2020-04-24 17:21,18.9426,-66.5171,49.0,3.17,md,12.0,262.0,0.4657,0.35,pr,pr2020115017,2020-07-11T22:18:58.040Z,"62km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.82,3.49,0.1,7,reviewed,pr,pr,Amarillo
39,2020-04-24 19:27,18.9996,-67.1653,5.0,3.38 md,RSPR,0.34,2.84,2.74,284.0,C,I,15,2020-04-24 19:27,18.9996,-67.1653,5.0,3.38,md,15.0,284.0,0.5348,0.34,pr,pr2020115020,2020-07-11T22:18:58.040Z,"49km N of San Antonio, Puerto Rico",earthquake,2.84,2.74,0.12,6,reviewed,pr,pr,Amarillo
40,2020-04-26 01:19,18.9971,-65.0171,39.0,3.51 md,RSPR,0.26,2.24,7.96,305.0,C,I,22,2020-04-26 01:19,18.9971,-65.0171,39.0,3.51,md,22.0,305.0,0.7389,0.26,pr,pr2020117001,2020-07-11T22:19:07.040Z,"66km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.24,7.96,0.11,18,reviewed,pr,pr,Amarillo
41,2020-04-26 16:04,18.526,-65.2266,104.0,3.39 md,RSPR,0.1,1.59,0.56,294.0,B,I,16,2020-04-26 16:04,18.526,-65.2266,104.0,3.39,md,16.0,294.0,0.2256,0.1,pr,pr2020117020,2020-07-11T22:19:08.040Z,"29km NNE of Culebra, Puerto Rico",earthquake,1.59,0.56,0.05,9,reviewed,pr,pr,Amarillo
42,2020-05-02 05:40,18.678,-68.721,138.0,2.80 ml,RSPR,0.13,13.63,1.62,255.0,C,I,16,2020-05-02 05:40,18.678,-68.721,138.0,2.8,ml,16.0,255.0,1.276,0.13,pr,pr2020123006,2020-07-18T21:57:11.040Z,"5km N of Salvaleon de Higuey, Dominican Republic",earthquake,13.63,1.62,0.0,0,reviewed,pr,pr,Amarillo
43,2020-05-02 14:36,18.8711,-68.7381,143.0,4.40 md,RSPR,0.05,7.44,1.56,289.0,C,II,23,2020-05-02 14:36,18.8711,-68.7381,143.0,4.4,md,23.0,289.0,1.2474,0.05,pr,pr2020123014,2020-07-18T21:57:12.040Z,"11km ENE of Guaymate, Dominican Republic",earthquake,7.44,1.56,0.16,10,reviewed,pr,pr,Amarillo
44,2020-05-04 00:22,18.522000000000002,-65.6213,84.0,3.44 md,RSPR,0.25,1.55,1.07,214.0,C,I,22,2020-05-04 00:22,18.522,-65.6213,84.0,3.44,md,22.0,214.0,0.4009,0.25,pr,pr2020125003,2020-07-18T21:57:32.040Z,"21km NNE of Luquillo, Puerto Rico",earthquake,1.55,1.07,0.11,13,reviewed,pr,pr,Amarillo
45,2020-05-04 14:41,18.569000000000003,-67.2053,87.0,3.26 md,RSPR,0.19,0.93,0.87,224.0,C,I,20,2020-05-04 14:41,18.569,-67.2053,87.0,3.26,md,20.0,224.0,0.1384,0.19,pr,pr2020125004,2020-07-18T21:57:34.040Z,"15km NW of San Antonio, Puerto Rico",earthquake,0.93,0.87,0.2,18,reviewed,pr,pr,Amarillo
46,2020-05-10 13:44,17.955,-66.9605,9.0,3.04 md,RSPR,0.13,0.41,0.62,203.0,B,I,22,2020-05-10 13:44,17.955,-66.9605,9.0,3.04,md,22.0,203.0,0.0837,0.13,pr,pr2020131004,2020-07-29T22:14:28.040Z,"6km SW of Guanica, Puerto Rico",earthquake,0.41,0.62,0.17,19,reviewed,pr,pr,Amarillo
47,2020-05-15 09:06,18.9493,-67.9896,71.0,3.42 md,RSPR,0.58,3.3,4.31,176.0,C,I,20,2020-05-15 09:06,18.9493,-67.9896,71.0,3.42,md,20.0,176.0,0.7613,0.58,pr,pr2020136016,2020-08-02T00:31:47.040Z,"82km NE of Punta Cana, Dominican Republic",earthquake,3.3,4.31,0.12,15,reviewed,pr,pr,Amarillo
48,2020-05-17 22:25,18.8526,-64.3633,27.0,3.73 md,RSPR,0.31,2.56,19.56,336.0,C,I,17,2020-05-17 22:25,18.8526,-64.3633,27.0,3.73,md,17.0,336.0,1.0686,0.31,pr,pr2020138003,2020-08-02T00:29:12.040Z,"40km NE of Road Town, British Virgin Islands",earthquake,2.56,19.56,0.06,15,reviewed,pr,pr,Amarillo
49,2020-05-18 07:22,18.2638,-67.0483,8.0,3.09 md,RSPR,0.32,0.44,1.13,82.0,A,I,21,2020-05-18 07:22,18.2638,-67.0483,8.0,3.09,md,21.0,82.0,0.1072,0.32,pr,pr2020139010,2020-08-02T00:28:58.040Z,"3km WNW of Las Marias, Puerto Rico",earthquake,0.44,1.13,0.1,15,reviewed,pr,pr,Amarillo
50,2020-05-21 00:33,19.0153,-64.4841,10.0,3.85 md,RSPR,0.39,2.18,31.61,237.0,C,III,21,2020-05-21 00:33,19.0153,-64.4841,10.0,3.85,md,21.0,237.0,1.6202,0.39,pr,pr2020142000,2020-08-08T18:17:45.040Z,"39km N of Road Town, British Virgin Islands",earthquake,2.18,31.61,0.08,17,reviewed,pr,pr,Amarillo
51,2020-05-31 19:56,18.4335,-65.0218,6.0,3.80 md,RSPR,0.19,2.42,1.44,332.0,C,III,27,2020-05-31 19:56,18.4335,-65.0218,6.0,3.8,md,27.0,332.0,0.2896,0.19,pr,pr2020152019,2020-08-15T20:19:58.040Z,"17km NW of Charlotte Amalie, U.S. Virgin Islands",earthquake,2.42,1.44,0.07,15,reviewed,pr,pr,Amarillo
52,2020-06-07 14:52,18.804000000000002,-68.1861,18.0,3.49 md,RSPR,0.49,1.54,2.77,163.0,C,I,17,2020-06-07 14:52,18.804,-68.1861,18.0,3.49,md,17.0,163.0,0.3497,0.49,pr,pr2020159004,2020-08-18T17:59:02.040Z,"54km NNE of Punta Cana, Dominican Republic",earthquake,1.54,2.77,0.06,14,reviewed,pr,pr,Amarillo
53,2020-06-15 16:48,18.921,-67.6836,8.0,3.47 md,RSPR,0.48,1.93,2.0,221.0,C,I,16,2020-06-15 16:48,18.921,-67.6836,8.0,3.47,md,16.0,221.0,0.5742,0.48,pr,pr2020167021,2020-08-22T19:14:54.040Z,"75km NW of San Antonio, Puerto Rico",earthquake,1.93,2.0,0.12,12,reviewed,pr,pr,Amarillo
54,2020-06-16 17:42,18.3456,-68.4135,147.0,3.79 md,RSPR,0.45,5.62,1.92,265.0,C,I,17,2020-06-16 17:42,18.3456,-68.4135,147.0,3.79,md,17.0,265.0,0.1713,0.45,pr,pr2020168018,2020-08-22T19:14:57.040Z,"22km SSE of Boca de Yuma, Dominican Republic",earthquake,5.62,1.92,0.08,10,reviewed,pr,pr,Amarillo
